permno,prc,ticker,comnam,ym
84788,1.301500034332275,AMZN,AMAZON COM INC,2003m3
86868,68.08000183105469,GS,GOLDMAN SACHS GROUP INC,2003m3
84398,91.91000366210938,SPY,SPDR TRUST,2003m4
84788,1.434500026702881,AMZN,AMAZON COM INC,2003m4
86868,75.90000152587891,GS,GOLDMAN SACHS GROUP INC,2003m4
84398,96.94999694824219,SPY,SPDR TRUST,2003m5
84788,1.794499969482422,AMZN,AMAZON COM INC,2003m5
86868,81.5,GS,GOLDMAN SACHS GROUP INC,2003m5
84398,97.62999725341797,SPY,SPDR TRUST,2003m6
84788,1.815999984741211,AMZN,AMAZON COM INC,2003m6
86868,83.75,GS,GOLDMAN SACHS GROUP INC,2003m6
84398,99.38999938964844,SPY,SPDR TRUST,2003m7
84788,2.081999969482422,AMZN,AMAZON COM INC,2003m7
86868,87.13999938964844,GS,GOLDMAN SACHS GROUP INC,2003m7
84398,101.4400024414063,SPY,SPDR TRUST,2003m8
84788,2.315999984741211,AMZN,AMAZON COM INC,2003m8
86868,88.48999786376953,GS,GOLDMAN SACHS GROUP INC,2003m8
84398,99.94999694824219,SPY,SPDR TRUST,2003m9
84788,2.421500015258789,AMZN,AMAZON COM INC,2003m9
86868,83.90000152587891,GS,GOLDMAN SACHS GROUP INC,2003m9
84398,105.3000030517578,SPY,SPDR TRUST,2003m10
84788,2.721500015258789,AMZN,AMAZON COM INC,2003m10
86868,93.90000152587891,GS,GOLDMAN SACHS GROUP INC,2003m10
84398,106.4499969482422,SPY,SPDR TRUST,2003m11
84788,2.698500061035156,AMZN,AMAZON COM INC,2003m11
86868,96.08000183105469,GS,GOLDMAN SACHS GROUP INC,2003m11
84398,111.2799987792969,SPY,SPDR TRUST,2003m12
84788,2.630999946594238,AMZN,AMAZON COM INC,2003m12
86868,98.73000335693359,GS,GOLDMAN SACHS GROUP INC,2003m12
84398,113.4800033569336,SPY,SPDR TRUST,2004m1
84788,2.520000076293945,AMZN,AMAZON COM INC,2004m1
86868,99.55000305175781,GS,GOLDMAN SACHS GROUP INC,2004m1
84398,115.0199966430664,SPY,SPDR TRUST,2004m2
84788,2.15049991607666,AMZN,AMAZON COM INC,2004m2
86868,105.870002746582,GS,GOLDMAN SACHS GROUP INC,2004m2
84398,113.0999984741211,SPY,SPDR TRUST,2004m3
84788,2.163999938964844,AMZN,AMAZON COM INC,2004m3
86868,104.3499984741211,GS,GOLDMAN SACHS GROUP INC,2004m3
84398,110.9599990844727,SPY,SPDR TRUST,2004m4
84788,2.179999923706055,AMZN,AMAZON COM INC,2004m4
86868,96.75,GS,GOLDMAN SACHS GROUP INC,2004m4
84398,112.8600006103516,SPY,SPDR TRUST,2004m5
84788,2.425,AMZN,AMAZON COM INC,2004m5
86868,93.91000366210938,GS,GOLDMAN SACHS GROUP INC,2004m5
84398,114.5299987792969,SPY,SPDR TRUST,2004m6
84788,2.720000076293945,AMZN,AMAZON COM INC,2004m6
86868,94.16000366210938,GS,GOLDMAN SACHS GROUP INC,2004m6
84398,110.8399963378906,SPY,SPDR TRUST,2004m7
84788,1.945999908447266,AMZN,AMAZON COM INC,2004m7
86868,88.19000244140625,GS,GOLDMAN SACHS GROUP INC,2004m7
84398,111.1100006103516,SPY,SPDR TRUST,2004m8
84788,1.906999969482422,AMZN,AMAZON COM INC,2004m8
